Timestamp (ms),TP9 (left ear),AF7 (left forehead),AF8 (right forehead),TP10 (right ear)
155,318.359375,22.94921875,90.8203125,153.3203125
159,263.671875,18.5546875,92.7734375,121.09375
162,233.88671875,12.6953125,90.33203125,116.69921875
167,256.8359375,15.13671875,93.26171875,146.484375
171,301.7578125,9.765625,93.26171875,140.13671875
175,319.82421875,8.7890625,86.9140625,131.8359375
179,275.87890625,13.671875,92.7734375,126.46484375
184,241.2109375,10.25390625,96.19140625,128.41796875
187,263.18359375,9.765625,99.12109375,147.94921875
191,320.3125,17.08984375,101.07421875,157.71484375
195,346.6796875,24.4140625,102.05078125,165.0390625
199,311.5234375,27.83203125,102.05078125,154.296875
203,273.92578125,35.64453125,99.12109375,140.625
207,289.55078125,42.48046875,95.703125,161.62109375
211,331.0546875,38.0859375,95.21484375,177.24609375
215,351.5625,35.15625,96.6796875,169.921875
219,309.08203125,37.109375,93.75,140.625
222,251.46484375,29.296875,88.8671875,125.9765625
227,264.6484375,26.3671875,90.8203125,144.04296875
231,299.31640625,26.3671875,93.75,148.92578125
235,324.21875,22.4609375,90.33203125,134.27734375
239,304.6875,17.578125,92.7734375,110.83984375
243,246.09375,9.765625,98.14453125,95.703125
247,245.60546875,15.13671875,101.07421875,114.74609375
251,298.33984375,21.484375,100.5859375,136.71875
255,339.35546875,25.390625,104.98046875,147.4609375
259,309.5703125,27.34375,108.88671875,137.20703125
262,257.8125,27.83203125,107.91015625,107.91015625
267,252.9296875,20.99609375,104.4921875,113.28125
271,277.83203125,19.53125,103.515625,139.16015625
275,315.91796875,20.5078125,105.95703125,145.5078125
279,306.15234375,18.5546875,107.421875,130.37109375
283,250,19.04296875,107.421875,110.3515625
287,234.375,14.16015625,101.07421875,124.51171875
291,266.11328125,11.71875,98.14453125,142.08984375
294,305.6640625,10.7421875,97.65625,142.08984375
299,310.546875,18.06640625,100.5859375,132.8125
303,259.765625,20.5078125,101.5625,109.375
307,237.3046875,17.578125,98.14453125,121.09375
311,267.578125,20.01953125,98.14453125,140.13671875
315,316.40625,24.90234375,101.07421875,149.90234375
319,329.1015625,26.85546875,104.4921875,149.4140625
323,272.4609375,26.85546875,112.3046875,136.71875
327,238.76953125,18.06640625,109.86328125,134.27734375
331,267.08984375,15.625,105.46875,147.4609375
335,321.2890625,17.08984375,112.79296875,161.1328125
338,337.890625,11.71875,106.93359375,154.296875
343,291.50390625,9.765625,101.07421875,132.32421875
347,255.859375,5.37109375,104.4921875,137.20703125
351,279.296875,4.8828125,109.375,159.1796875
355,328.61328125,10.7421875,114.74609375,174.8046875
359,345.21484375,10.25390625,114.74609375,175.29296875
362,306.15234375,8.30078125,111.81640625,141.11328125
367,267.578125,8.30078125,113.76953125,149.90234375
371,282.2265625,10.25390625,111.81640625,167.96875
375,335.9375,6.8359375,108.3984375,161.62109375
379,363.76953125,1.46484375,105.46875,163.57421875
384,319.82421875,-0.9765625,102.05078125,132.8125
387,270.99609375,-3.41796875,102.5390625,114.2578125
391,275.87890625,2.44140625,103.02734375,135.7421875
395,319.3359375,3.41796875,104.4921875,155.76171875
399,356.4453125,1.46484375,106.93359375,166.015625
403,323.73046875,3.41796875,108.3984375,139.16015625
407,264.16015625,-3.41796875,104.4921875,112.79296875
411,257.32421875,-3.41796875,102.5390625,138.671875
415,288.57421875,-0.9765625,99.609375,151.85546875
419,316.89453125,-7.8125,90.33203125,138.671875
423,303.7109375,-8.30078125,87.40234375,125.48828125
427,259.765625,-4.8828125,87.40234375,118.1640625
431,239.74609375,-13.671875,82.51953125,128.41796875
435,274.90234375,-20.01953125,84.47265625,137.6953125
439,323.2421875,-19.04296875,91.30859375,158.69140625
443,301.26953125,-18.5546875,89.35546875,146.484375
447,242.1875,-23.4375,88.8671875,109.375
451,236.81640625,-29.78515625,91.30859375,117.1875
455,271.484375,-27.34375,84.9609375,127.44140625
459,305.6640625,-20.01953125,79.1015625,139.6484375
462,297.8515625,-12.6953125,88.8671875,131.34765625
467,247.55859375,-5.859375,92.7734375,104.4921875
471,217.28515625,-6.34765625,89.84375,124.51171875
474,240.72265625,-7.32421875,83.984375,147.4609375
479,299.8046875,-6.34765625,79.1015625,152.34375
484,307.12890625,-6.34765625,85.44921875,146.97265625
487,241.2109375,-6.34765625,88.8671875,126.46484375
491,199.21875,-7.8125,85.9375,126.953125
495,226.5625,-5.859375,85.9375,138.18359375
499,286.62109375,-3.90625,87.40234375,148.4375
504,303.7109375,-4.39453125,94.23828125,150.87890625
507,244.140625,4.8828125,99.12109375,128.41796875
511,195.3125,3.41796875,98.14453125,120.60546875
515,226.07421875,-8.7890625,102.05078125,134.765625
519,275.87890625,-10.7421875,99.12109375,143.5546875
523,282.2265625,-12.6953125,95.21484375,133.30078125
528,233.3984375,-18.5546875,89.35546875,106.4453125
531,200.68359375,-13.18359375,83.49609375,119.62890625
535,224.609375,0.9765625,77.1484375,150.390625
539,266.11328125,3.90625,76.66015625,145.01953125
543,291.9921875,2.9296875,82.51953125,143.5546875
547,249.51171875,0,83.984375,125
550,185.546875,-3.41796875,80.078125,115.234375
555,189.453125,-4.39453125,80.56640625,128.90625
560,244.62890625,-1.46484375,84.47265625,126.46484375
562,270.5078125,-2.9296875,84.47265625,129.39453125
567,236.328125,-7.8125,82.51953125,112.3046875
571,196.77734375,-1.953125,84.9609375,107.421875
575,195.3125,1.953125,88.8671875,135.25390625
579,233.88671875,-5.37109375,91.30859375,147.94921875
583,266.11328125,-10.7421875,90.33203125,150.87890625
588,244.140625,-3.41796875,90.8203125,130.859375
591,199.21875,-1.46484375,90.8203125,111.81640625
595,191.89453125,0,88.37890625,140.13671875
599,236.328125,3.41796875,82.51953125,164.55078125
604,275.390625,0.9765625,76.66015625,152.83203125
607,250.9765625,-2.44140625,78.61328125,133.30078125
612,191.89453125,-0.9765625,81.54296875,130.37109375
615,168.45703125,-7.32421875,76.66015625,132.8125
619,202.1484375,-14.16015625,74.70703125,129.8828125
623,252.9296875,-13.671875,80.56640625,136.71875
627,250.48828125,-11.71875,83.984375,133.30078125
631,196.2890625,-8.30078125,85.9375,112.3046875
635,179.19921875,-7.32421875,93.26171875,113.76953125
639,214.84375,-2.9296875,100.5859375,135.25390625
643,257.32421875,-1.953125,101.07421875,140.13671875
647,258.30078125,-2.44140625,103.515625,125.9765625
651,201.171875,-0.48828125,106.93359375,104.00390625
655,180.6640625,-4.39453125,103.02734375,116.2109375
659,203.125,-9.765625,95.703125,136.23046875
662,229.98046875,-16.11328125,87.890625,139.6484375
667,244.140625,-16.11328125,82.51953125,130.859375
671,198.73046875,-12.6953125,84.9609375,98.6328125
675,164.55078125,-9.765625,82.51953125,112.79296875
679,184.08203125,-8.7890625,74.21875,134.765625
684,238.28125,-12.20703125,74.70703125,125.9765625
686,260.7421875,-12.6953125,78.61328125,130.859375
691,202.63671875,-5.37109375,82.51953125,114.74609375
695,164.0625,-4.8828125,82.51953125,99.609375
699,184.5703125,-15.625,83.49609375,119.62890625
703,237.79296875,-16.6015625,93.75,141.11328125
708,261.23046875,-17.578125,93.26171875,135.7421875
711,217.7734375,-28.80859375,85.44921875,95.21484375
715,185.05859375,-29.78515625,86.42578125,99.609375
719,186.5234375,-26.3671875,86.42578125,134.765625
724,225.09765625,-24.4140625,87.40234375,142.08984375
727,262.6953125,-22.94921875,93.26171875,137.20703125
731,236.81640625,-25.87890625,89.84375,112.79296875
735,201.171875,-23.4375,84.9609375,109.375
739,214.35546875,-20.99609375,83.0078125,133.7890625
743,262.20703125,-19.53125,83.49609375,149.4140625
747,293.9453125,-15.13671875,88.8671875,159.1796875
751,262.6953125,-24.4140625,85.44921875,134.765625
755,220.21484375,-29.296875,82.03125,113.28125
759,227.5390625,-22.94921875,79.1015625,134.765625
762,278.3203125,-27.34375,71.2890625,157.2265625
767,324.21875,-26.85546875,64.94140625,162.109375
772,294.921875,-29.78515625,59.08203125,134.765625
775,244.62890625,-33.203125,61.5234375,118.65234375
779,255.37109375,-28.80859375,58.10546875,147.4609375
784,295.41015625,-31.25,49.31640625,165.52734375
787,328.125,-40.0390625,47.36328125,160.15625
792,317.3828125,-44.921875,48.828125,147.4609375
795,271.484375,-44.921875,48.828125,138.671875
799,261.71875,-47.36328125,54.6875,156.25
803,305.17578125,-48.33984375,55.17578125,158.203125
806,355.95703125,-41.9921875,50.78125,164.0625
811,355.95703125,-41.9921875,46.38671875,155.2734375
815,309.5703125,-51.26953125,45.8984375,127.9296875
819,286.1328125,-53.7109375,48.33984375,147.4609375
823,328.61328125,-53.7109375,50.78125,175.78125
827,368.65234375,-55.6640625,49.31640625,185.05859375
831,362.79296875,-54.19921875,49.31640625,166.50390625
835,305.6640625,-55.6640625,45.8984375,134.765625
839,257.8125,-56.15234375,36.1328125,143.06640625
844,279.78515625,-53.7109375,29.78515625,157.71484375
847,319.82421875,-62.01171875,35.64453125,163.0859375
851,328.125,-62.5,43.9453125,158.69140625
855,267.08984375,-55.6640625,49.8046875,127.9296875
859,212.40234375,-56.640625,51.26953125,109.86328125
862,226.5625,-59.08203125,56.15234375,117.67578125
867,244.62890625,-53.7109375,62.5,122.55859375
871,231.4453125,-41.50390625,64.453125,109.375
875,168.9453125,-36.1328125,64.94140625,62.5
879,103.515625,-35.15625,72.75390625,31.25
883,101.5625,-36.62109375,83.984375,43.45703125
887,138.671875,-42.48046875,81.54296875,52.734375
891,142.08984375,-46.875,78.61328125,39.55078125
895,97.65625,-50.78125,90.33203125,-2.9296875
899,54.6875,-53.7109375,106.4453125,-2.9296875
904,46.875,-45.8984375,104.4921875,31.25
907,77.63671875,-38.0859375,89.35546875,14.16015625
911,104.4921875,-43.45703125,100.09765625,-17.08984375
915,75.1953125,-56.640625,106.4453125,-18.06640625
920,29.296875,-59.08203125,89.35546875,-18.5546875
923,0.9765625,-58.10546875,90.33203125,-37.59765625
927,31.73828125,-55.6640625,122.55859375,-45.8984375
931,74.21875,-54.6875,150.87890625,-39.0625
935,18.06640625,-45.8984375,155.76171875,-55.6640625
939,-53.22265625,-36.1328125,144.53125,-65.91796875
943,-73.73046875,-36.1328125,133.7890625,-55.17578125
947,-55.6640625,-42.96875,124.51171875,-46.38671875
951,-14.6484375,-49.8046875,112.79296875,-20.01953125
955,-17.578125,-41.50390625,118.1640625,-12.20703125
959,-42.48046875,-34.66796875,143.06640625,-23.4375
963,-27.34375,-33.69140625,149.90234375,14.6484375
967,27.34375,-32.71484375,148.4375,60.546875
970,85.44921875,-37.109375,143.5546875,63.96484375
976,87.890625,-36.1328125,137.6953125,63.96484375
979,57.12890625,-26.3671875,144.53125,83.984375
983,60.546875,-30.2734375,120.60546875,123.046875
987,95.703125,-38.0859375,85.44921875,125.48828125
991,150.390625,-40.0390625,109.86328125,111.328125
995,157.71484375,-50.29296875,130.37109375,108.3984375
1000,87.40234375,-60.05859375,118.65234375,85.44921875
1003,20.5078125,-55.17578125,126.46484375,92.28515625
1007,32.71484375,-46.38671875,138.671875,112.3046875
1011,80.078125,-39.0625,125,121.58203125
1015,62.01171875,-31.25,120.60546875,103.515625
1019,10.25390625,-29.296875,133.30078125,73.2421875
1023,7.32421875,-38.57421875,-36.1328125,-1.953125
1027,-1.953125,-38.57421875,-35.64453125,-20.01953125
1031,-14.6484375,-38.0859375,-39.0625,-27.34375
1035,-21.97265625,-42.96875,-39.0625,-15.13671875
1040,-2.44140625,-44.43359375,-35.15625,5.37109375
1043,10.25390625,-42.96875,-29.78515625,0.48828125
1047,3.90625,-48.828125,-35.15625,-13.18359375
1051,9.765625,-47.8515625,-30.76171875,-19.53125
1056,8.7890625,-50.78125,-27.83203125,-14.6484375
1059,18.06640625,-54.19921875,-36.62109375,2.9296875
1064,22.94921875,-47.8515625,-38.0859375,-3.90625
1067,20.99609375,-41.9921875,-33.203125,-16.11328125
1071,9.27734375,-49.31640625,-32.71484375,-25.390625
1075,-4.8828125,-51.26953125,-31.25,-20.5078125
1081,4.39453125,-53.7109375,-27.83203125,5.37109375
1083,16.6015625,-51.26953125,-32.71484375,-2.44140625
1087,23.92578125,-45.41015625,-30.76171875,-15.13671875
1090,12.20703125,-46.38671875,-27.34375,-17.578125
1095,4.8828125,-42.96875,-25.390625,-14.16015625
1099,15.625,-37.59765625,-21.97265625,16.6015625
1103,9.765625,-35.64453125,-23.92578125,23.4375
1107,0.9765625,-37.59765625,-24.4140625,4.39453125
1111,-4.8828125,-42.48046875,-22.4609375,-4.39453125
1115,-17.578125,-39.55078125,-20.99609375,-8.7890625
1119,-4.8828125,-35.64453125,-17.08984375,6.8359375
1123,13.671875,-38.0859375,-13.671875,25.87890625
1127,-5.859375,-44.921875,-26.3671875,3.41796875
1131,-18.5546875,-41.50390625,-26.3671875,-16.11328125
1135,-19.04296875,-38.57421875,-16.6015625,-7.32421875
1139,-16.11328125,-49.31640625,-21.484375,-3.41796875
1143,4.8828125,-51.7578125,-22.94921875,-12.6953125
1147,-2.44140625,-59.08203125,-19.04296875,-23.92578125
1150,-10.7421875,-64.453125,-10.25390625,-13.18359375
1155,-0.48828125,-63.96484375,-9.27734375,12.20703125
1159,22.94921875,-70.3125,-8.7890625,4.39453125
1164,27.34375,-73.2421875,-8.30078125,-5.859375
1167,16.11328125,-70.80078125,-9.765625,-17.08984375
1172,-7.32421875,-80.078125,-10.7421875,-9.27734375
1175,-2.9296875,-92.28515625,-9.765625,20.99609375
1181,18.5546875,-100.5859375,-8.7890625,7.32421875
1182,12.6953125,-111.328125,-12.20703125,-19.04296875
1187,6.8359375,-125,-13.18359375,-18.5546875
1191,-2.44140625,-153.80859375,-12.6953125,-3.90625
1196,-11.71875,-165.0390625,-15.13671875,16.11328125
1199,-2.9296875,-179.19921875,-23.4375,-3.41796875
1203,-2.9296875,-201.66015625,-24.90234375,-22.94921875
1207,-2.44140625,-210.9375,-21.97265625,-14.6484375
1211,-7.32421875,-218.26171875,-22.4609375,-12.20703125
1215,-19.04296875,-229.98046875,-23.92578125,1.953125
1219,-4.8828125,-231.4453125,-21.484375,8.7890625
1223,4.8828125,-234.86328125,-20.99609375,-7.8125
1227,3.41796875,-242.67578125,-20.99609375,-24.90234375
1231,-2.44140625,-247.55859375,-15.13671875,-24.4140625
1235,-8.7890625,-250.48828125,-15.13671875,1.953125
1239,5.859375,-252.44140625,-19.53125,2.9296875
1243,1.46484375,-253.90625,-15.13671875,-16.11328125
1247,-5.859375,-250.9765625,-10.7421875,-15.13671875
1251,5.37109375,-243.1640625,-9.765625,-4.39453125
1255,-1.953125,-241.69921875,-9.765625,17.578125
1259,-0.9765625,-242.67578125,-11.23046875,16.6015625
1264,-0.48828125,-245.1171875,-15.13671875,-4.39453125
1267,-3.90625,-244.62890625,-15.13671875,-5.859375
1271,-8.30078125,-239.2578125,-20.01953125,-15.13671875
1275,-21.484375,-237.79296875,-22.4609375,-8.7890625
1279,-7.32421875,-234.375,-12.20703125,7.32421875
1282,9.27734375,-228.02734375,-9.765625,-4.8828125
1287,12.6953125,-226.07421875,-13.18359375,-19.04296875
1291,5.859375,-220.21484375,-8.7890625,-22.4609375
1295,-6.34765625,-217.7734375,-9.27734375,-1.46484375
1298,-0.48828125,-216.796875,-17.08984375,6.34765625
1303,4.8828125,-214.35546875,-15.13671875,-12.20703125
1307,2.9296875,-205.56640625,-12.20703125,-16.6015625
1311,7.8125,-189.94140625,-17.08984375,-20.99609375
1315,0.9765625,-186.03515625,-20.5078125,-11.23046875
1319,-0.48828125,-192.3828125,-30.76171875,-9.765625
1323,0.9765625,-196.77734375,-33.69140625,-32.71484375
1327,-2.44140625,-197.75390625,-25.87890625,-36.1328125
1331,1.953125,-185.546875,-28.80859375,-38.57421875
1336,-8.7890625,-172.8515625,-30.2734375,-29.78515625
1339,-12.6953125,-172.8515625,-26.85546875,-17.08984375
1344,2.44140625,-171.875,-29.78515625,-21.484375
1347,7.32421875,-172.36328125,-33.203125,-26.85546875
1352,-1.953125,-172.36328125,-32.2265625,-41.9921875
1355,-16.11328125,-170.8984375,-29.78515625,-34.66796875
1360,-19.04296875,-170.8984375,-31.73828125,-7.32421875
1362,-7.8125,-170.41015625,-35.15625,-18.06640625
1367,-6.8359375,-168.9453125,-33.69140625,-40.52734375
1372,-10.25390625,-161.62109375,-29.296875,-48.33984375
1375,-20.99609375,-160.15625,-32.71484375,-40.52734375
1379,-32.71484375,-170.41015625,-30.2734375,-10.7421875
1384,-21.97265625,-169.921875,-25.87890625,-13.671875
1387,-13.18359375,-176.7578125,-29.78515625,-23.92578125
1390,-15.625,-185.546875,-29.78515625,-31.25
1395,-26.85546875,-175.29296875,-37.59765625,-39.55078125
1399,-34.1796875,-180.17578125,-41.015625,-7.8125
1404,-8.30078125,-187.98828125,-36.1328125,10.25390625
1407,10.25390625,-182.6171875,-30.76171875,-15.13671875
1412,-6.8359375,-182.6171875,-34.66796875,-36.62109375
1415,-24.90234375,-186.5234375,-41.50390625,-32.2265625
1419,-17.08984375,-186.03515625,-38.57421875,0
1424,5.37109375,-188.4765625,-40.52734375,9.765625
1427,3.90625,-200.1953125,-47.8515625,-20.5078125
1431,-0.48828125,-198.2421875,-50.29296875,-31.73828125
1435,-8.30078125,-195.3125,-53.22265625,-24.4140625
1439,-3.41796875,-186.5234375,-45.8984375,-3.41796875
1443,3.41796875,-182.6171875,-37.109375,4.39453125
1447,0,-191.40625,-41.50390625,-17.08984375
1451,-0.48828125,-195.3125,-41.9921875,-17.08984375
1455,-18.5546875,-205.56640625,-48.33984375,-17.578125
1459,-22.94921875,-213.37890625,-54.6875,-15.13671875
1462,-2.44140625,-205.078125,-51.7578125,-0.9765625
1467,-6.8359375,-202.63671875,-58.10546875,-12.20703125
1471,-26.3671875,-208.0078125,-61.03515625,-34.66796875
1475,-41.9921875,-222.65625,-54.19921875,-23.4375
1479,-41.50390625,-236.81640625,-53.22265625,-3.41796875
1483,-18.5546875,-235.3515625,-53.7109375,-14.16015625
1487,-16.11328125,-239.74609375,-53.22265625,-22.94921875
1491,-23.92578125,-244.62890625,-51.26953125,-22.4609375
1494,-34.66796875,-247.55859375,-51.7578125,-2.44140625
1499,-31.25,-252.9296875,-52.734375,16.11328125
1503,-12.20703125,-250,-50.29296875,6.34765625
1507,0.48828125,-243.1640625,-48.828125,0
1511,-0.48828125,-244.140625,-49.8046875,-17.08984375
1515,-6.8359375,-245.1171875,-51.26953125,11.71875
1519,-11.71875,-247.55859375,-49.31640625,7.32421875
1523,-20.5078125,-252.44140625,-47.8515625,-2.44140625
1527,-25.87890625,-255.37109375,-51.26953125,-21.484375
1531,-19.53125,-258.30078125,-49.8046875,-14.6484375
1535,6.8359375,-258.30078125,-46.875,24.4140625
1539,14.16015625,-252.9296875,-46.875,21.97265625
1543,3.41796875,-253.41796875,-48.828125,-5.859375
1547,-11.71875,-257.8125,-48.33984375,-7.8125
1551,-15.13671875,-259.27734375,-42.96875,7.32421875
1555,-3.90625,-263.18359375,-44.921875,22.94921875
1559,6.34765625,-266.11328125,-46.38671875,21.97265625
1562,-4.39453125,-268.5546875,-45.8984375,6.8359375
1567,-24.90234375,-267.578125,-50.29296875,-4.39453125
1570,-33.203125,-268.5546875,-51.7578125,-1.953125
1575,-25.390625,-270.01953125,-49.8046875,12.20703125
1579,-1.46484375,-264.6484375,-45.8984375,20.01953125
1584,-6.8359375,-259.765625,-41.015625,19.53125
1587,-26.85546875,-253.41796875,-47.8515625,1.46484375
1592,-31.25,-249.51171875,-51.26953125,-13.18359375
1595,-19.04296875,-248.046875,-41.50390625,16.11328125
1599,-10.25390625,-245.1171875,-43.45703125,24.4140625
1603,-16.11328125,-238.28125,-52.734375,2.44140625
1607,-17.578125,-236.328125,-52.734375,-8.7890625
1611,-26.85546875,-235.3515625,-48.33984375,-5.37109375
1614,-13.671875,-233.3984375,-45.41015625,20.01953125
1619,5.37109375,-227.05078125,-45.8984375,26.85546875
1623,3.41796875,-215.33203125,-45.8984375,8.7890625
1628,-2.9296875,-214.84375,-50.78125,0.48828125
1631,-15.13671875,-214.84375,-54.19921875,0.9765625
1635,-11.71875,-214.84375,-54.19921875,17.578125
1639,7.32421875,-220.703125,-52.734375,28.80859375
1643,2.44140625,-216.30859375,-54.6875,19.53125
1647,-9.765625,-211.9140625,-58.59375,5.859375
1651,-22.4609375,-211.9140625,-54.19921875,-8.7890625
1655,-19.04296875,-205.56640625,-51.26953125,2.44140625
1659,-11.23046875,-203.125,-51.7578125,5.859375
1662,-20.01953125,-202.1484375,-52.734375,-11.71875
1667,-28.80859375,-201.66015625,-62.01171875,-32.71484375
1671,-42.96875,-197.75390625,-63.96484375,-38.57421875
1675,-45.41015625,-198.2421875,-59.5703125,-17.578125
1679,-29.296875,-196.2890625,-61.5234375,-3.90625
1684,-18.06640625,-193.84765625,-59.08203125,-17.08984375
1687,-17.578125,-194.82421875,-56.15234375,-19.53125
1692,-29.78515625,-193.359375,-53.22265625,-13.671875
1695,-41.015625,-189.453125,-53.22265625,-20.01953125
1699,-28.3203125,-179.19921875,-55.6640625,-14.16015625
1704,-0.9765625,-184.08203125,-56.640625,-3.90625
1707,-7.32421875,-187.98828125,-55.6640625,-13.18359375
1712,-27.83203125,-169.43359375,-53.7109375,-29.78515625
1715,-15.625,-163.0859375,-52.24609375,-18.5546875
1719,-3.41796875,-159.1796875,-50.29296875,12.20703125
1723,-1.953125,-167.48046875,-51.26953125,13.671875
1727,-7.8125,-172.36328125,-47.36328125,2.9296875
1731,-25.87890625,-174.31640625,-44.43359375,-11.71875
1735,-40.0390625,-171.38671875,-42.96875,-1.46484375
1739,-35.15625,-159.1796875,-46.38671875,23.92578125
1743,-12.6953125,-159.66796875,-48.828125,10.7421875
1747,-9.27734375,-159.66796875,-41.9921875,-2.44140625
1750,-24.90234375,-153.80859375,-42.48046875,-4.8828125
1755,-36.1328125,-154.296875,-51.7578125,-11.71875
1759,-21.484375,-151.3671875,-51.7578125,3.41796875
1762,-13.18359375,-145.99609375,-44.921875,14.16015625
1767,-22.4609375,-146.97265625,-40.0390625,9.765625
1771,-26.85546875,-142.08984375,-41.015625,-0.9765625
1776,-34.1796875,-133.7890625,-45.8984375,-11.71875
1779,-20.99609375,-135.7421875,-43.9453125,8.30078125
1783,-7.32421875,-136.71875,-45.8984375,17.08984375
1787,-12.6953125,-131.8359375,-50.29296875,-4.8828125
1791,-17.578125,-129.8828125,-47.8515625,-21.484375
1794,-35.64453125,-134.765625,-49.8046875,-29.78515625
1799,-41.50390625,-134.27734375,-53.7109375,-12.20703125
1803,-34.66796875,-131.8359375,-50.78125,0.9765625
1807,-27.34375,-135.7421875,-46.875,-8.7890625
1811,-41.50390625,-135.25390625,-41.9921875,-14.16015625
1815,-63.96484375,-131.8359375,-47.8515625,-25.390625
1819,-44.921875,-130.37109375,-53.22265625,-14.16015625
1823,-23.4375,-135.25390625,-48.33984375,10.25390625
1827,-28.3203125,-137.20703125,-45.41015625,-0.48828125
1831,-35.64453125,-137.6953125,-41.9921875,-10.7421875
1835,-41.015625,-143.06640625,-41.50390625,-24.90234375
1838,-29.78515625,-136.71875,-32.2265625,-13.18359375
1843,-11.23046875,-130.859375,-30.76171875,6.34765625
1847,-9.765625,-131.8359375,-36.62109375,-17.578125
1851,-22.4609375,-129.39453125,-32.71484375,-17.578125
1855,-29.296875,-135.7421875,-32.71484375,-2.44140625
1859,-26.85546875,-139.16015625,-36.62109375,7.8125
1862,-26.3671875,-136.23046875,-41.015625,-12.20703125
1867,-23.92578125,-128.41796875,-36.62109375,-24.4140625
1871,-32.2265625,-130.37109375,-39.0625,-28.80859375
1875,-35.64453125,-132.32421875,-40.52734375,-24.90234375
1879,-16.11328125,-133.30078125,-38.0859375,-1.46484375
1884,-5.859375,-137.20703125,-37.109375,1.953125
1887,-7.8125,-135.25390625,-36.1328125,-15.13671875
1892,-9.27734375,-125.48828125,-34.1796875,-25.87890625
1895,-12.6953125,-122.0703125,-29.296875,-20.01953125
1898,0,-119.140625,-21.484375,9.765625
1903,3.90625,-121.58203125,-27.83203125,2.9296875
1907,-9.27734375,-124.0234375,-39.55078125,-22.4609375
1911,-13.671875,-120.1171875,-39.0625,-25.390625
1915,-21.484375,-120.60546875,-38.57421875,-17.08984375
1919,-26.85546875,-123.046875,-41.015625,-0.48828125
1924,-9.765625,-125,-41.015625,-6.8359375
1927,-3.90625,-124.0234375,-34.66796875,-20.01953125
1931,-12.20703125,-121.09375,-33.203125,-18.5546875
1935,-21.97265625,-127.44140625,-28.80859375,-16.11328125
1939,-32.71484375,-133.30078125,-30.2734375,-2.44140625
1943,-31.73828125,-132.8125,-36.62109375,-10.7421875
1947,-40.52734375,-133.30078125,-37.109375,-33.69140625
1950,-51.7578125,-131.34765625,-30.76171875,-37.59765625
1955,-36.62109375,-129.39453125,-30.2734375,-8.30078125
1960,-20.01953125,-132.32421875,-33.203125,19.53125
1962,-20.01953125,-132.8125,-29.78515625,7.32421875
1967,-28.80859375,-126.953125,-29.296875,-16.6015625
1972,-27.83203125,-114.74609375,-27.34375,-13.671875
1975,-16.6015625,-111.81640625,-29.296875,5.859375
1979,-13.18359375,-115.234375,-29.78515625,17.578125
1983,-15.625,-103.02734375,-26.3671875,4.8828125
1987,-12.20703125,-92.28515625,-25.87890625,-8.30078125
1990,-19.04296875,-94.23828125,-31.73828125,-20.99609375
1995,-20.99609375,-95.21484375,-37.59765625,-12.20703125
1999,-4.8828125,-89.84375,-32.71484375,17.08984375
2003,-6.34765625,-86.42578125,-27.34375,8.30078125
2007,-17.08984375,-93.26171875,-26.3671875,-8.7890625
2011,-24.90234375,-109.86328125,-34.1796875,-26.3671875
2015,-25.390625,-117.1875,-38.0859375,-29.296875
2019,-14.16015625,-108.3984375,-39.0625,-1.953125
2023,-18.5546875,-103.02734375,-39.0625,-4.8828125
